   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing FakeInvestigation.C+...
Begin Fake Investigation
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 16, 10577, 69, 102.511
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 17, 10589, 69, 102.569
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 18, 10592, 69, 102.584
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 19, 10598, 69, 102.613
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 20, 10600, 69, 102.623
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 21, 10601, 70, 102.623
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 22, 10602, 70, 102.628
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 23, 10607, 70, 102.652
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 24, 10609, 70, 102.662
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2, 25, 10609, 70, 102.662
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 16, 10759, 73, 103.375
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 17, 10766, 73, 103.409
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 18, 10772, 73, 103.438
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 19, 10775, 73, 103.453
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 20, 10782, 73, 103.487
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 21, 10787, 73, 103.511
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 22, 10790, 73, 103.525
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 23, 10791, 73, 103.53
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 24, 10792, 73, 103.535
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.1, 25, 10792, 73, 103.535
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 16, 10904, 75, 104.065
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 17, 10911, 75, 104.099
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 18, 10916, 75, 104.123
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 19, 10924, 75, 104.161
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 20, 10926, 75, 104.171
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 21, 10928, 75, 104.18
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 22, 10930, 75, 104.19
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 23, 10932, 75, 104.199
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 24, 10934, 75, 104.209
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.2, 25, 10935, 75, 104.214
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 16, 11018, 76, 104.607
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 17, 11025, 76, 104.64
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 18, 11030, 76, 104.664
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 19, 11034, 76, 104.683
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 20, 11037, 76, 104.697
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 21, 11037, 76, 104.697
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 22, 11039, 76, 104.707
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 23, 11043, 76, 104.726
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 24, 11045, 76, 104.735
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.3, 25, 11045, 76, 104.735
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 16, 11107, 78, 105.022
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 17, 11115, 78, 105.06
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 18, 11118, 78, 105.074
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 19, 11123, 78, 105.098
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 20, 11124, 79, 105.098
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 21, 11124, 79, 105.098
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 22, 11124, 79, 105.098
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 23, 11124, 79, 105.098
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 24, 11126, 79, 105.107
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 25, 11126, 79, 105.107

Best Ellipse Parameters (Eta, Lxy, FOM): 2.4, 24, 105.107
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 16, 11410, 128, 106.223
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 17, 11421, 130, 106.266
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 18, 11430, 130, 106.308
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 19, 11438, 130, 106.346
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 20, 11442, 130, 106.365
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 21, 11446, 130, 106.384
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 22, 11449, 131, 106.393
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 23, 11454, 133, 106.407
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 24, 11459, 133, 106.431
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 25, 11462, 133, 106.445
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 16, 11628, 134, 107.217
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 17, 11636, 135, 107.25
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 18, 11644, 135, 107.287
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 19, 11653, 135, 107.329
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 20, 11659, 135, 107.357
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 21, 11661, 136, 107.362
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 22, 11663, 136, 107.371
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 23, 11665, 136, 107.38
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 24, 11668, 136, 107.394
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 25, 11669, 137, 107.395
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 16, 11792, 138, 107.961
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 17, 11802, 138, 108.007
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 18, 11806, 138, 108.026
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 19, 11810, 139, 108.04
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 20, 11816, 139, 108.068
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 21, 11818, 139, 108.077
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 22, 11822, 139, 108.095
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 23, 11826, 141, 108.105
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 24, 11828, 141, 108.114
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 25, 11828, 141, 108.114
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 16, 11907, 143, 108.47
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 17, 11916, 143, 108.511
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 18, 11929, 144, 108.567
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 19, 11931, 144, 108.576
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 20, 11933, 144, 108.585
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 21, 11936, 145, 108.594
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 22, 11939, 145, 108.608
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 23, 11940, 145, 108.613
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 24, 11940, 145, 108.613
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 25, 11941, 145, 108.617
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 16, 11997, 145, 108.875
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 17, 12003, 146, 108.898
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 18, 12010, 146, 108.93
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 19, 12014, 146, 108.948
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 20, 12017, 147, 108.958
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 21, 12018, 147, 108.962
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 22, 12018, 147, 108.962
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 23, 12023, 147, 108.985
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 24, 12023, 147, 108.985
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 25, 12025, 147, 108.994

Best Ellipse Parameters (Eta, Lxy, FOM): 2.4, 25, 108.994
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 16, 9177, 207, 94.7342
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 17, 9197, 211, 94.8195
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 18, 9207, 212, 94.8671
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 19, 9218, 213, 94.92
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 20, 9220, 217, 94.9104
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 21, 9232, 219, 94.9635
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 22, 9237, 221, 94.9798
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 23, 9241, 221, 95.0009
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 24, 9246, 224, 95.0121
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 25, 9250, 226, 95.0231
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 16, 9363, 221, 95.6405
