   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: -28.4362, -6.92313, 37.6485, 47.686, 3.07991, 47.7854, 85.4339, 10.1369, 2.13156, 1.06578
px, py, pz, p1, m1, e, num, den, ln, y: 9.76076, -7.70652, -9.90727, 15.9002, 1.05404, 15.9351, 6.02785, 25.8424, -1.45563, -0.727813
px, py, pz, p1, m1, e, num, den, ln, y: -4.83205, -5.89364, 1.77762, 7.82583, 4.65383, 9.10504, 10.8827, 7.32742, 0.395547, 0.197774
px, py, pz, p1, m1, e, num, den, ln, y: 15.7716, 15.0171, 13.3688, 25.5535, 3.10575, 25.7416, 39.1104, 12.3727, 1.15089, 0.575446
px, py, pz, p1, m1, e, num, den, ln, y: 2.49444, 8.95083, -29.0645, 30.5136, 3.087, 30.6694, 1.60494, 59.7339, -3.61681, -1.80841
px, py, pz, p1, m1, e, num, den, ln, y: -5.36779, 7.24662, 3.44691, 9.65442, 2.02321, 9.86414, 13.311, 6.41723, 0.729607, 0.364804
px, py, pz, p1, m1, e, num, den, ln, y: 13.8228, 1.33778, 7.89379, 15.9741, 0.990371, 16.0048, 23.8986, 8.111, 1.0806, 0.540299
px, py, pz, p1, m1, e, num, den, ln, y: -32.748, 22.3103, -54.4171, 67.3157, 3.08458, 67.3864, 12.9693, 121.803, -2.23983, -1.11991
px, py, pz, p1, m1, e, num, den, ln, y: -48.7747, 5.37632, 2.43346, 49.1304, 3.10964, 49.2287, 51.6621, 46.7952, 0.098944, 0.049472
px, py, pz, p1, m1, e, num, den, ln, y: 4.06938, -25.7743, 2.43741, 26.2072, 2.64623, 26.3404, 28.7778, 23.903, 0.185601, 0.0928004
px, py, pz, p1, m1, e, num, den, ln, y: -11.9507, 3.24307, 16.8308, 20.8953, 0.86551, 20.9132, 37.744, 4.08237, 2.22415, 1.11207
px, py, pz, p1, m1, e, num, den, ln, y: -6.73924, 6.41914, 33.3656, 34.6393, 1.61589, 34.677, 68.0426, 1.31144, 3.94901, 1.9745
px, py, pz, p1, m1, e, num, den, ln, y: -6.46532, 10.7821, 8.4605, 15.1537, 3.08058, 15.4636, 23.9241, 7.00311, 1.22853, 0.614266
px, py, pz, p1, m1, e, num, den, ln, y: 36.077, 5.92207, -47.1141, 59.6353, 3.04415, 59.7129, 12.5988, 106.827, -2.13761, -1.06881
px, py, pz, p1, m1, e, num, den, ln, y: -15.642, -2.46525, 17.5595, 23.645, 3.09528, 23.8467, 41.4062, 6.28724, 1.88491, 0.942454
px, py, pz, p1, m1, e, num, den, ln, y: -8.18145, 5.3863, -31.5533, 33.0387, 3.13639, 33.1872, 1.63399, 64.7405, -3.67936, -1.83968
px, py, pz, p1, m1, e, num, den, ln, y: 19.1183, 30.5005, -74.4417, 82.6883, 3.05173, 82.7446, 8.30292, 157.186, -2.94082, -1.47041
px, py, pz, p1, m1, e, num, den, ln, y: -1.91447, 24.85, 41.728, 48.6047, 3.10862, 48.704, 90.4321, 6.97599, 2.56213, 1.28106
px, py, pz, p1, m1, e, num, den, ln, y: -52.0488, -18.6725, 67.4906, 87.2509, 3.06907, 87.3049, 154.795, 19.8143, 2.0557, 1.02785
px, py, pz, p1, m1, e, num, den, ln, y: -27.8593, -20.1262, -99.3428, 105.12, 3.07589, 105.165, 5.82211, 204.508, -3.55894, -1.77947
px, py, pz, p1, m1, e, num, den, ln, y: 7.31017, 10.5839, -18.7033, 22.6996, 7.99672, 24.067, 5.36364, 42.7703, -2.0762, -1.0381
px, py, pz, p1, m1, e, num, den, ln, y: -10.4439, -26.1739, -30.1969, 41.3038, 3.09425, 41.4195, 11.2226, 71.6164, -1.85339, -0.926696
px, py, pz, p1, m1, e, num, den, ln, y: -3.83115, -7.66014, -12.8507, 15.4433, 0.75523, 15.4618, 2.61107, 28.3125, -2.38354, -1.19177
px, py, pz, p1, m1, e, num, den, ln, y: 26.3651, -14.8373, 24.1531, 38.7122, 3.10041, 38.8361, 62.9892, 14.6831, 1.45627, 0.728134
px, py, pz, p1, m1, e, num, den, ln, y: 3.68471, 34.0796, -10.8053, 35.9409, 1.6586, 35.9792, 25.1739, 46.7844, -0.619743, -0.309871
px, py, pz, p1, m1, e, num, den, ln, y: -8.91556, -8.91115, -0.220824, 12.6073, 1.31277, 12.6755, 12.4547, 12.8963, -0.0348461, -0.0174231
px, py, pz, p1, m1, e, num, den, ln, y: 8.59162, 3.59366, -34.9316, 36.1517, 3.15694, 36.2893, 1.3577, 71.2209, -3.95999, -1.98
px, py, pz, p1, m1, e, num, den, ln, y: 5.53076, 8.3056, 6.9801, 12.1776, 3.09651, 12.5651, 19.5452, 5.58503, 1.25264, 0.626321
px, py, pz, p1, m1, e, num, den, ln, y: -10.4225, 20.4767, -4.15081, 23.3485, 3.10378, 23.5539, 19.4031, 27.7047, -0.35617, -0.178085
px, py, pz, p1, m1, e, num, den, ln, y: -6.19178, -12.5849, -1.30643, 14.0863, 3.09824, 14.423, 13.1166, 15.7294, -0.181657, -0.0908286
px, py, pz, p1, m1, e, num, den, ln, y: -1.97259, -12.3057, -45.3642, 47.045, 3.04564, 47.1435, 1.77929, 92.5076, -3.95108, -1.97554
px, py, pz, p1, m1, e, num, den, ln, y: 8.00626, 3.98933, -11.3471, 14.449, 1.92387, 14.5765, 3.22934, 25.9236, -2.08288, -1.04144
px, py, pz, p1, m1, e, num, den, ln, y: -54.9369, -31.9585, 54.9586, 84.023, 3.05755, 84.0786, 139.037, 29.1199, 1.56332, 0.781659
px, py, pz, p1, m1, e, num, den, ln, y: -9.51505, 3.58241, 14.0609, 17.3516, 3.00206, 17.6094, 31.6703, 3.54851, 2.18885, 1.09443
px, py, pz, p1, m1, e, num, den, ln, y: 4.6182, 6.30533, -17.9621, 19.5888, 0.792229, 19.6048, 1.64274, 37.5669, -3.12976, -1.56488
px, py, pz, p1, m1, e, num, den, ln, y: -4.13782, -27.6172, -46.635, 54.3567, 3.05761, 54.4427, 7.80765, 101.078, -2.56079, -1.28039
px, py, pz, p1, m1, e, num, den, ln, y: 7.08719, -9.31248, -56.4562, 57.6563, 1.00948, 57.6652, 1.20897, 114.121, -4.54749, -2.27374
px, py, pz, p1, m1, e, num, den, ln, y: -9.5796, -30.1378, -27.0457, 41.6116, 3.08659, 41.7259, 14.6802, 68.7717, -1.54429, -0.772145
px, py, pz, p1, m1, e, num, den, ln, y: 19.0554, 3.24539, 7.35127, 20.6805, 1.90209, 20.7678, 28.119, 13.4165, 0.739962, 0.369981
px, py, pz, p1, m1, e, num, den, ln, y: 7.59544, 4.38334, 6.84628, 11.1255, 3.0387, 11.533, 18.3793, 4.6867, 1.36649, 0.683247
px, py, pz, p1, m1, e, num, den, ln, y: -7.46717, 8.45948, 2.15956, 11.4885, 3.73077, 12.0791, 14.2386, 9.9195, 0.361455, 0.180728
px, py, pz, p1, m1, e, num, den, ln, y: 18.9141, 24.8226, 118.827, 122.857, 3.10963, 122.896, 241.723, 4.06903, 4.08439, 2.04219
px, py, pz, p1, m1, e, num, den, ln, y: -37.6379, 34.3255, -69.808, 86.4177, 3.02496, 86.4706, 16.6626, 156.279, -2.23848, -1.11924
px, py, pz, p1, m1, e, num, den, ln, y: 12.637, -20.5765, -4.17978, 24.5062, 3.08846, 24.7001, 20.5203, 28.8798, -0.34173, -0.170865
px, py, pz, p1, m1, e, num, den, ln, y: -2.43789, -16.8676, -7.88019, 18.7765, 3.0814, 19.0277, 11.1475, 26.9079, -0.881205, -0.440603
px, py, pz, p1, m1, e, num, den, ln, y: -9.7319, -0.55502, 0.558135, 9.76368, 1.22288, 9.83996, 10.3981, 9.28183, 0.113564, 0.0567822
px, py, pz, p1, m1, e, num, den, ln, y: -12.382, 17.9296, 35.0467, 41.2681, 3.05733, 41.3812, 76.4279, 6.33447, 2.49034, 1.24517
px, py, pz, p1, m1, e, num, den, ln, y: -21.8259, -15.3035, 22.6521, 34.9812, 3.06232, 35.115, 57.767, 12.4629, 1.53366, 0.766831
px, py, pz, p1, m1, e, num, den, ln, y: -13.1106, 12.5713, 13.6576, 22.7256, 3.07668, 22.933, 36.5906, 9.27532, 1.37243, 0.686217
px, py, pz, p1, m1, e, num, den, ln, y: -7.99208, 10.0754, 26.4474, 29.4084, 0.855859, 29.4209, 55.8683, 2.97342, 2.93328, 1.46664
px, py, pz, p1, m1, e, num, den, ln, y: 3.53065, 8.62947, 4.82014, 10.496, 3.12256, 10.9507, 15.7708, 6.13054, 0.944878, 0.472439
px, py, pz, p1, m1, e, num, den, ln, y: 6.78384, 8.09468, 18.8197, 21.5807, 0.333345, 21.5832, 40.4029, 2.76355, 2.68239, 1.34119
px, py, pz, p1, m1, e, num, den, ln, y: -14.3398, -7.48711, -5.66917, 17.1414, 3.11318, 17.4218, 11.7526, 23.091, -0.675365, -0.337682
px, py, pz, p1, m1, e, num, den, ln, y: 16.3544, 4.91675, 7.21114, 18.5375, 0.616312, 18.5478, 25.7589, 11.3366, 0.820741, 0.410371
px, py, pz, p1, m1, e, num, den, ln, y: -2.27446, -6.58787, -22.4968, 23.5516, 2.92975, 23.7332, 1.23635, 46.23, -3.62146, -1.81073
px, py, pz, p1, m1, e, num, den, ln, y: 43.2844, -4.0757, 158.321, 164.182, 2.97318, 164.209, 322.529, 5.8878, 4.00331, 2.00166
px, py, pz, p1, m1, e, num, den, ln, y: 15.3471, 7.4958, 5.65444, 17.9914, 3.07017, 18.2515, 23.906, 12.5971, 0.640662, 0.320331
px, py, pz, p1, m1, e, num, den, ln, y: 4.16822, -47.8129, -65.6199, 81.2983, 3.04794, 81.3555, 15.7355, 146.975, -2.23434, -1.11717
px, py, pz, p1, m1, e, num, den, ln, y: -10.3386, -3.9814, 30.2307, 32.1968, 1.0945, 32.2154, 62.4461, 1.98469, 3.44884, 1.72442
px, py, pz, p1, m1, e, num, den, ln, y: 6.46778, 15.0423, 9.70803, 19.0355, 1.79279, 19.1197, 28.8277, 9.41169, 1.11939, 0.559693
px, py, pz, p1, m1, e, num, den, ln, y: -5.80849, -8.20079, -24.9813, 26.9269, 3.068, 27.1011, 2.1198, 52.0824, -3.20151, -1.60075
px, py, pz, p1, m1, e, num, den, ln, y: 6.20052, 17.9603, -53.6914, 56.9543, 1.66414, 56.9786, 3.28714, 110.67, -3.51653, -1.75827
px, py, pz, p1, m1, e, num, den, ln, y: -1.58972, -10.729, -8.79168, 13.9619, 3.10289, 14.3025, 5.51081, 23.0942, -1.43287, -0.716435
px, py, pz, p1, m1, e, num, den, ln, y: 33.8369, -0.491841, 43.75, 55.3104, 3.06898, 55.3955, 99.1455, 11.6455, 2.14167, 1.07083
px, py, pz, p1, m1, e, num, den, ln, y: 0.0792547, -0.155796, 13.1581, 13.1593, 8.74646, 15.8009, 28.959, 2.64274, 2.39406, 1.19703
px, py, pz, p1, m1, e, num, den, ln, y: 15.076, -19.9155, 57.7924, 62.9593, 3.12002, 63.0366, 120.829, 5.24417, 3.13726, 1.56863
px, py, pz, p1, m1, e, num, den, ln, y: -15.3565, -16.8701, -1.33825, 22.8519, 3.08345, 23.059, 21.7208, 24.3973, -0.116202, -0.0581011
px, py, pz, p1, m1, e, num, den, ln, y: 1.09277, -11.7215, -17.138, 20.7917, 1.33006, 20.8342, 3.69628, 37.9722, -2.32953, -1.16476
px, py, pz, p1, m1, e, num, den, ln, y: 9.25067, 19.4343, -55.9908, 59.9853, 3.06916, 60.0638, 4.07296, 116.055, -3.34969, -1.67484
px, py, pz, p1, m1, e, num, den, ln, y: -3.058, 12.4489, 9.57751, 16.0017, 3.13369, 16.3057, 25.8832, 6.72818, 1.34729, 0.673645
px, py, pz, p1, m1, e, num, den, ln, y: 60.4543, 45.1951, -139.048, 158.214, 3.10354, 158.245, 19.1964, 297.293, -2.74, -1.37
px, py, pz, p1, m1, e, num, den, ln, y: -24.1394, -0.3997, -26.4096, 35.7818, 3.09556, 35.9154, 9.50585, 62.325, -1.88046, -0.940228
px, py, pz, p1, m1, e, num, den, ln, y: 5.56458, -32.4468, 56.9528, 65.7828, 2.99378, 65.8509, 122.804, 8.89814, 2.62475, 1.31237
px, py, pz, p1, m1, e, num, den, ln, y: 13.6066, -5.50321, -9.81313, 17.6557, 3.11114, 17.9277, 8.11454, 27.7408, -1.22925, -0.614623
px, py, pz, p1, m1, e, num, den, ln, y: 6.98457, 9.0417, 13.057, 17.35, 3.09959, 17.6247, 30.6816, 4.56769, 1.90466, 0.952328
px, py, pz, p1, m1, e, num, den, ln, y: 3.79475, -7.97489, -1.91267, 9.03644, 2.49017, 9.37328, 7.46061, 11.2859, -0.413921, -0.206961
px, py, pz, p1, m1, e, num, den, ln, y: 15.5603, 8.39572, -14.9189, 23.1341, 1.12561, 23.1614, 8.24253, 38.0803, -1.53039, -0.765195
px, py, pz, p1, m1, e, num, den, ln, y: 4.48993, 8.47868, 12.8701, 16.0526, 1.31566, 16.1064, 28.9765, 3.23636, 2.19204, 1.09602
