mass, cT, erec: 2, 0, 0.0595833
mass, cT, erec: 2, 0.05, 0.0620791
mass, cT, erec: 2, 0.1, 0.0605177
mass, cT, erec: 2, 0.2, 0.0594066
mass, cT, erec: 2, 0.5, 0.0547194
mass, cT, erec: 2, 1, 0.041824
mass, cT, erec: 2, 2, 0.0218813
mass, cT, erec: 2, 3, 0.013391
mass, cT, erec: 2, 5, 0.00621173
mass, cT, erec: 2, 10, 0.00200079
mass, cT, erec: 2, 20, 0.000588705
mass, cT, erec: 0.25, 0, 0.0887683
mass, cT, erec: 0.25, 0.05, 0.082752
mass, cT, erec: 0.25, 0.1, 0.0685515
mass, cT, erec: 0.25, 0.2, 0.0434389
mass, cT, erec: 0.25, 0.5, 0.0136793
mass, cT, erec: 0.25, 1, 0.00462521
mass, cT, erec: 0.25, 2, 0.00139425
mass, cT, erec: 0.25, 3, 0.000581818
mass, cT, erec: 0.25, 5, 0.000214905
mass, cT, erec: 0.25, 10, 5.88197e-05
mass, cT, erec: 0.25, 20, 2.05536e-05
mass, cT, erec: 8.5, 0, 0.13759
mass, cT, erec: 8.5, 0.05, 0.137474
mass, cT, erec: 8.5, 0.1, 0.136405
mass, cT, erec: 8.5, 0.2, 0.135997
mass, cT, erec: 8.5, 0.5, 0.136427
mass, cT, erec: 8.5, 1, 0.13197
mass, cT, erec: 8.5, 2, 0.119885
mass, cT, erec: 8.5, 3, 0.103431
mass, cT, erec: 8.5, 5, 0.0735101
mass, cT, erec: 0.275, 0, 0.0815267
mass, cT, erec: 0.275, 0.05, 0.0789062
mass, cT, erec: 0.275, 0.1, 0.0656804
mass, cT, erec: 0.275, 0.2, 0.0430992
mass, cT, erec: 0.275, 0.5, 0.0150688
mass, cT, erec: 0.275, 1, 0.00516854
mass, cT, erec: 0.275, 2, 0.00143689
mass, cT, erec: 0.275, 3, 0.000641711
mass, cT, erec: 0.275, 5, 0.00037551
mass, cT, erec: 0.3, 0, 0.0769346
mass, cT, erec: 0.3, 0.05, 0.0741918
mass, cT, erec: 0.3, 0.1, 0.0625234
mass, cT, erec: 0.3, 0.2, 0.043152
mass, cT, erec: 0.3, 0.5, 0.015207
mass, cT, erec: 0.3, 1, 0.00769231
mass, cT, erec: 0.3, 2, 0.00137815
mass, cT, erec: 0.3, 3, 0.000746575
mass, cT, erec: 0.3, 5, 0.000223881
mass, cT, erec: 0.4, 0, 0.0660205
mass, cT, erec: 0.4, 0.05, 0.0628661
mass, cT, erec: 0.4, 0.1, 0.0595424
mass, cT, erec: 0.4, 0.2, 0.045131
mass, cT, erec: 0.4, 0.5, 0.0194603
mass, cT, erec: 0.4, 1, 0.00713648
mass, cT, erec: 0.4, 2, 0.00229091
mass, cT, erec: 0.4, 3, 0.000963989
mass, cT, erec: 0.4, 5, 0.000390244
mass, cT, erec: 0.7, 0, 0.0627724
mass, cT, erec: 0.7, 0.05, 0.0613055
mass, cT, erec: 0.7, 0.1, 0.0604053
mass, cT, erec: 0.7, 0.2, 0.0553199
mass, cT, erec: 0.7, 0.5, 0.0330351
mass, cT, erec: 0.7, 1, 0.0149134
mass, cT, erec: 0.7, 2, 0.00548883
mass, cT, erec: 0.7, 3, 0.00278261
mass, cT, erec: 0.7, 5, 0.0010495
mass, cT, erec: 1, 0, 0.0621637
mass, cT, erec: 1, 0.05, 0.0615949
mass, cT, erec: 1, 0.1, 0.0615592
mass, cT, erec: 1, 0.2, 0.0581469
mass, cT, erec: 1, 0.5, 0.043244
mass, cT, erec: 1, 1, 0.0239228
mass, cT, erec: 1, 2, 0.00942342
mass, cT, erec: 1, 3, 0.00518157
mass, cT, erec: 1, 5, 0.00194456
mass, cT, erec: 1.5, 0, 0.0608557
mass, cT, erec: 1.5, 0.05, 0.0603339
mass, cT, erec: 1.5, 0.1, 0.0628364
mass, cT, erec: 1.5, 0.2, 0.0595626
mass, cT, erec: 1.5, 1, 0.0343427
mass, cT, erec: 1.5, 2, 0.0162532
mass, cT, erec: 1.5, 3, 0.00898208
mass, cT, erec: 1.5, 5, 0.00399287
